node_id,i,j,k,lon,lat,level_hPa,T_K,p_Pa,u_ms,v_ms,omega_pas,Phi,q
1403,0,23,6,-10.0,41.25,300,-1.4885260217578734e+82,30000.0,-74091.1295,-219649.9326,0.0,-1.4501977093623697e+84,1.091e-05
1464,0,24,1,-10.0,41.5,1000,-3.383790533968065e+82,100000.0,-14976.4431,10696.5526,0.0,617.82,0.00899904
1464,0,24,2,-10.0,41.5,925,2.5736246497329767e+82,92500.0,-32404.7535,-43190.0221,2.0,-9.06554729114778e+82,0.00759551
1464,0,24,3,-10.0,41.5,850,-1.5414680070625144e+82,85000.0,-1460.7082,-15898.8788,2.0,3.461157134168847e+82,0.00560403
1464,0,24,4,-10.0,41.5,700,5.94893047496222e+81,70000.0,29013.6829,60826.3666,2.0,-2.2917064867231965e+83,0.00293913
1464,0,24,5,-10.0,41.5,500,-4.484447661908767e+81,50000.0,75464.5197,-13341.0461,-2.0,-1.584456133050953e+83,0.00042381
1464,0,24,6,-10.0,41.5,300,1.9859637442195395e+80,30000.0,-4444.1034,67792.2276,0.0,-4.726769049845241e+83,1.091e-05
1525,0,25,1,-10.0,41.75,1000,-6.19386937039955e+82,100000.0,21805.3143,71958.5009,0.0,608.01,0.00911864
1525,0,25,2,-10.0,41.75,925,3.817424236019858e+82,92500.0,-5455.6411,3955.0143,2.0,-2.6591808134302673e+83,0.00734128
1525,0,25,3,-10.0,41.75,850,-1.6228492287252375e+82,85000.0,17800.5156,47849.4207,2.0,4.2513943440138803e+80,0.00536979
1525,0,25,4,-10.0,41.75,700,2.3490316732879627e+81,70000.0,-29655.736,-44268.8621,2.0,-3.863540476070572e+83,0.00337772
1525,0,25,5,-10.0,41.75,500,1.8308939811430788e+82,50000.0,-6690.5776,79949.9675,2.0,6.112921868513587e+83,0.00080948
1525,0,25,6,-10.0,41.75,300,-3.17219938188645e+82,30000.0,13766.0709,-53583.0219,0.0,-3.7213000944079473e+83,4.569e-05
1586,0,26,1,-10.0,42.0,1000,-6.5728941663195e+82,100000.0,-23534.2436,-9464.2341,0.0,608.01,0.00911864
1586,0,26,2,-10.0,42.0,925,5.071470155471785e+82,92500.0,13539.9241,-12638.8291,-2.0,-1.6800547442522437e+83,0.00734128
1586,0,26,3,-10.0,42.0,850,-3.2681323749968314e+82,85000.0,12548.5565,-30909.8889,-2.0,5.085548544391205e+82,0.00536979
1586,0,26,4,-10.0,42.0,700,1.0350635585633535e+82,70000.0,660.0787,-6769.744,-2.0,-5.714342169086288e+83,0.00337772
1586,0,26,5,-10.0,42.0,500,5.694293561868777e+81,50000.0,29568.0541,-90344.2333,-2.0,2.0343194833894582e+83,0.00080948
1586,0,26,6,-10.0,42.0,300,-2.7324469333553492e+82,30000.0,-57869.0625,-39638.8572,0.0,-1.3824555722649728e+84,4.569e-05
1647,0,27,1,-10.0,42.25,1000,-5.065117637237334e+82,100000.0,-11978.6804,-27925.1663,0.0,608.01,0.00911864
1647,0,27,2,-10.0,42.25,925,3.855347509531789e+82,92500.0,-9070.7485,8272.7863,2.0,-1.3537015711896004e+83,0.00734128
1647,0,27,3,-10.0,42.25,850,-2.799774880557928e+82,85000.0,12267.762,15531.9091,2.0,-7.261246359068359e+81,0.00536979
1647,0,27,4,-10.0,42.25,700,1.190329153264797e+82,70000.0,18557.6679,-2457.546,2.0,-4.5576578648757747e+83,0.00337772
1647,0,27,5,-10.0,42.25,500,-5.591552581291289e+81,50000.0,23349.2769,31490.0545,2.0,-1.509496721675691e+83,0.00080948
1647,0,27,6,-10.0,42.25,300,-1.5922116450963297e+82,30000.0,54562.4261,102109.6309,0.0,-1.7282951177519048e+84,4.569e-05
1708,0,28,1,-10.0,42.5,1000,-4.6530389581525225e+82,100000.0,2833.2987,-18623.3235,0.0,617.82,0.00905867
1708,0,28,2,-10.0,42.5,925,2.5711660962713967e+82,92500.0,-24271.031,-2384.6536,2.0,-2.3295620379472794e+83,0.00709463
1708,0,28,3,-10.0,42.5,850,-1.7711795867014366e+82,85000.0,28008.1089,-7603.0383,2.0,-1.3586634228207865e+83,0.00510754
1708,0,28,4,-10.0,42.5,700,9.401547542744168e+81,70000.0,-1733.9272,4769.2243,-2.0,-3.674481868776796e+83,0.00310325
1708,0,28,5,-10.0,42.5,500,3.325389416614169e+81,50000.0,-25896.8265,-53058.6611,2.0,2.471804441612285e+83,0.00092864
1708,0,28,6,-10.0,42.5,300,-2.4830176639984817e+82,30000.0,-14848.5907,-56837.2489,0.0,-1.3295138023751608e+84,4.569e-05
1769,0,29,1,-10.0,42.75,1000,-6.11559227415622e+82,100000.0,-34743.9186,-58879.988,0.0,637.43,0.00911864
1769,0,29,2,-10.0,42.75,925,3.2352386879735635e+82,92500.0,-91.9745,85127.4129,2.0,-3.2230413744735e+83,0.00775178
1769,0,29,3,-10.0,42.75,850,-1.764520156224465e+82,85000.0,15067.9516,-81651.7999,-2.0,-1.4381130430149366e+83,0.00540822
1769,0,29,4,-10.0,42.75,700,9.906985128062615e+81,70000.0,-41949.1574,6846.0842,-2.0,-3.594523255781045e+83,0.00320067
1769,0,29,5,-10.0,42.75,500,2.8103832076876105e+81,50000.0,-310.3825,-36243.9095,-2.0,2.547142029102873e+83,0.00062915
1769,0,29,6,-10.0,42.75,300,-3.1685981938600084e+82,30000.0,-4289.0299,67026.9228,0.0,-1.8623953462995251e+84,7.047e-05
1830,0,30,1,-10.0,43.0,1000,-6.13811970434488e+82,100000.0,20990.2222,76545.1034,0.0,666.85,0.00893976
1830,0,30,2,-10.0,43.0,925,3.629037377503238e+82,92500.0,41845.8776,-18779.6179,-2.0,-2.8075984108910816e+83,0.00780449
1830,0,30,3,-10.0,43.0,850,-1.9424971297761627e+82,85000.0,4433.3167,5080.6369,-2.0,-7.607394060391864e+82,0.00552496
